Tn,Tavg,RH_avg,ss,ff_avg
25.00,28.90,76.00,7.60,2.00
25.00,28.70,77.00,8.00,2.00
26.00,29.20,75.00,5.40,2.00
26.00,29.80,75.00,4.00,2.00
26.00,29.40,78.00,7.00,1.00
25.00,29.60,78.00,7.00,0.00
26.00,29.60,75.00,6.70,0.00
25.00,27.50,84.00,3.20,1.00
24.00,29.30,75.00,4.00,2.00
25.00,27.90,81.00,7.00,2.00
26.00,28.50,76.00,3.80,2.00
27.00,30.00,72.00,4.00,2.00
26.00,28.80,76.00,4.20,2.00
26.00,28.00,75.00,0.40,2.00
26.00,28.60,74.00,4.70,1.00
25.00,28.40,76.00,0.40,2.00
26.00,28.40,74.00,4.00,2.00
25.00,27.80,80.00,3.00,2.00
26.00,28.70,78.00,2.00,2.00
26.00,28.60,76.00,2.40,2.00
26.00,28.50,76.00,5.70,2.00
25.00,28.20,80.00,7.00,1.00
23.00,28.00,80.00,5.50,2.00
25.00,27.80,82.00,3.40,2.00
26.00,29.00,73.00,5.20,3.00
25.00,28.40,76.00,7.20,2.00
25.00,28.80,78.00,7.00,2.00
25.00,29.90,69.00,8.00,3.00
27.00,30.40,64.00,6.50,2.00
26.00,29.00,78.00,4.00,3.00
25.00,28.50,77.00,3.00,2.00
26.00,28.80,78.00,6.30,2.00
26.00,29.40,76.00,5.00,2.00
26.00,29.60,73.00,4.60,1.00
26.00,29.00,75.00,2.40,0.00
26.00,29.40,74.00,4.00,1.00
27.00,30.00,75.00,3.20,2.00
27.00,29.30,74.00,5.00,1.00
25.25,30.10,75.00,4.90,2.00
27.00,30.20,75.00,4.70,2.00
26.00,29.90,79.00,4.60,2.00
26.00,29.10,80.00,3.00,0.00
27.00,29.90,74.00,3.80,1.00
28.00,30.00,74.00,0.10,0.00
26.00,29.10,79.00,0.00,1.00
26.00,29.50,78.00,3.50,1.00
25.00,29.90,76.00,4.20,1.00
26.00,29.50,74.00,4.10,2.00
25.00,28.90,77.00,3.50,2.00
25.00,28.90,74.00,4.50,1.00
25.00,28.60,77.00,2.70,2.00
26.00,29.00,76.00,4.30,1.00
25.00,29.10,76.00,4.30,2.00
26.00,28.90,76.00,3.50,2.00
26.00,29.50,75.00,4.20,2.00
26.00,29.90,72.00,4.10,2.00
26.00,28.70,74.00,4.30,2.00
26.00,28.20,79.00,1.30,1.00
26.00,29.20,75.00,3.50,2.00
26.00,29.60,78.00,3.00,2.00
26.00,29.90,75.00,0.00,2.00
26.00,28.80,81.00,0.20,1.00
27.00,29.50,73.00,4.00,2.00
26.00,29.20,74.00,3.70,2.00
26.00,29.00,76.00,1.70,2.00
25.00,29.30,74.00,3.90,2.00
26.00,29.50,70.00,4.00,2.00
27.00,29.40,73.00,4.40,1.00
27.00,29.80,72.00,2.80,1.00
26.00,28.10,81.00,0.00,1.00
26.00,29.20,72.00,1.00,0.00
26.00,29.40,75.00,4.00,2.00
27.00,30.00,72.00,4.00,2.00
27.00,29.60,76.00,4.00,2.00
26.00,29.90,77.00,3.50,1.00
26.00,28.70,79.00,2.90,0.00
25.00,29.20,81.00,4.00,2.00
25.00,27.10,86.00,1.00,0.00
26.00,28.40,80.00,2.20,2.00
25.00,25.90,92.00,0.00,1.00
25.00,28.10,80.00,2.10,1.00
25.00,27.80,84.00,1.50,2.00
26.00,29.60,76.00,3.30,2.00
26.00,28.00,74.00,4.00,1.00
26.00,28.90,77.00,3.70,2.00
25.00,28.70,78.00,3.00,1.00
26.00,28.90,76.00,3.30,0.00
27.00,29.20,74.00,1.00,2.00
27.00,29.10,74.00,0.20,1.00
25.00,28.40,80.00,3.80,2.00
24.00,26.40,85.00,0.00,1.00
25.00,27.80,82.00,0.50,1.00
25.00,27.80,78.00,4.00,2.00
26.00,28.30,78.00,2.50,2.00
25.00,28.90,76.00,3.50,2.00
26.00,28.80,70.00,4.20,2.00
25.00,28.90,72.00,2.60,0.00
25.00,28.80,71.00,3.00,1.00
26.00,28.90,74.00,2.80,2.00
26.00,29.60,74.00,1.00,2.00
24.00,27.30,85.00,0.00,1.00
25.00,26.50,86.00,1.20,1.00
25.00,28.30,78.00,2.00,1.00
25.00,28.20,74.00,4.10,2.00
25.00,29.00,73.00,3.00,3.00
26.00,28.80,75.00,2.30,2.00
25.00,26.80,85.00,1.80,1.00
23.00,25.80,86.00,0.00,3.00
24.00,28.20,65.00,4.20,2.00
24.00,28.60,71.00,4.00,2.00
25.00,26.90,86.00,2.30,0.00
24.00,26.80,84.00,4.00,1.00
